question_id,subfield,cutoff_date,search_window,question,engaged,evidence_ids,notes
protoplanetary_disks-2018-007,protoplanetary_disks,2018-12-31,2019-01-01 to 2023-12-31,"What mechanisms can explain the formation and migration of hot Earth-size to Neptune-size planets within the inner 0.02-0.2 AU from their parent stars, given the unexpected abundance observed by Kepler?",,,
stellar_activity-2016-009,stellar_activity,2016-12-31,2017-01-01 to 2021-12-31,"What are the underlying causes of the anomalously high activity level of WASP-43 compared to other main sequence stars of similar age, and how does this relate to the discrepancies observed in the properties of CoRoT-5, CoRoT-8, CoRoT-13, Kepler-5, and Kepler-7?",,,
galaxy_evolution-2016-005,galaxy_evolution,2016-12-31,2017-01-01 to 2021-12-31,"What are the mechanisms and timescales involved in the formation of supermassive black holes (SMBHs) and intermediate-mass black holes (IMBHs) in the early Universe, particularly in relation to the rapid assembly of black holes powering luminous quasars at redshifts z ~ 6-7 and the emergence of high-z galaxies within 200 Myr after the transition from Population III to Population II star formation?",,,
galaxy_evolution-2012-002,galaxy_evolution,2012-12-31,2013-01-01 to 2017-12-31,"What is the cause of the observed discrepancies in star formation rate (SFR) measurements between different methods (such as LIR measurements from 24 micron and Herschel observations, photometric and spectroscopic redshifts, and PAH emission line luminosity) in infrared-selected galaxies, particularly at redshifts around z~2?",,,
exoplanet_atmospheres-2018-008,exoplanet_atmospheres,2018-12-31,2019-01-01 to 2023-12-31,"What are the underlying causes of the discrepancies between observed atmospheric opacities at 3.6 and 4.5 microns for exoplanets, specifically in the case of WASP-43b and HD 149026b, when compared to theoretical model predictions?",,,
gravitational_waves-2020-001,gravitational_waves,2020-12-31,2021-01-01 to 2025-12-31,"What is the nature of the unexpected $ ext{2.5} ext{M}_{ ext{odot}}$ component detected in the gravitational wave event GW190814, and how does it relate to the maximum mass limits of neutron stars and the existence of light black holes?",,,
compact_objects-2012-005,compact_objects,2012-12-31,2013-01-01 to 2017-12-31,"What is the relationship between the frequency ratios of high frequency quasi-periodic oscillations (HFQPOs) and the spin frequency of neutron stars in the microquasars GRO J1655-40, GRS 1915+105, and XTE J1550-564, given the inconsistencies reported in the inferred frequency differences and their correlation with the spin frequency?",,,
compact_objects-2016-000,compact_objects,2016-12-31,2017-01-01 to 2021-12-31,"What are the definitive orbital elements of the systems discussed in [0902.4015] and [1411.7561], and how do they reconcile the discrepancies in the orbital period discussions?",,,
compact_objects-2016-005,compact_objects,2016-12-31,2017-01-01 to 2021-12-31,"What mechanisms can account for the observed low braking indices and abnormal frequency second derivatives in 222 pulsars and 15 magnetars, given that the standard magnetic dipole braking model fails to explain their long-term spin-down evolution?",,,
stellar_activity-2018-004,stellar_activity,2018-12-31,2019-01-01 to 2023-12-31,"How does the presence of atmospheric dust influence the X-ray and radio emission in cool stellar atmospheres, and what are the specific mechanisms that lead to discrepancies between satellite-induced emission models and observations for dwarf stars like TVLM 513-46546?",,,
